Campaign name,Ad Set Name,Ad name,Page Name,Ads,Age,Gender,City,Day,Delivery status,Delivery level,Ad Set Name (Duplicate),Attribution setting,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Frequency,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),Conversion rate ranking,Engagement rate ranking,Quality ranking,ThruPlays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,Cost per 2-second continuous video play,Cost per 3-second video play,Cost per ThruPlay,Cost per Lead,Ad name (Duplicate),Campaign name (Duplicate),Image name,Video name,Reporting starts,Reporting ends
SQL Skills Training,Customer Onboarding Set,Ad 10,Analytics Gurukul,Ad 10,35,male,Madurai,08-04-2025,delivering,adset,Customer Onboarding Set,7-day click,conversion,4,716,1379,12.79,335.74,2.68,16,12.9,55.49,1.6,42,8.15,Below average,Below average,Below average,348,347,295,214,177,64,37.3,543,1.68,1.32,32,33.34,Ad 10,SQL Skills Training,eius_promo.png,culpa.mp4,08-04-2025,29-08-2025
Python Data Science Track,Growth Hacking Set,Ad 6,Data Insights Academy,Ad 6,36,female,Mysuru,10-03-2024,delivering,ad,Growth Hacking Set,7-day click,conversion,6,661,930,49.45,708.44,1.87,14,3.56,61.35,1.66,29,10.15,Average,-,Below average,96,331,146,154,197,114,47.4,427,2.8,3.38,7.89,49.91,Ad 6,Python Data Science Track,assumenda_promo.png,eaque.mp4,10-03-2024,30-04-2025
Digital Marketing Essentials,SEO Campaign Set,Ad 6,SkillUp Learning,Ad 6,15,male,Visakhapatnam,18-03-2024,delivering,campaign,SEO Campaign Set,7-day click,conversion,22,1065,2582,25.2,643.39,2.61,85,2.76,98.06,6.83,205,9.92,Above average,Average,-,71,120,124,95,27,36,44.96,157,2.31,1.61,23.76,28.09,Ad 6,Digital Marketing Essentials,enim_promo.png,blanditiis.mp4,18-03-2024,10-06-2025
Digital Marketing Essentials,Email Campaign Set,Ad 7,Analytics Gurukul,Ad 7,31,female,Chennai,01-04-2025,delivering,campaign,Email Campaign Set,7-day click or 1-day view,conversion,39,706,1840,29.93,376.67,1.36,166,1.33,98.1,1.8,274,13.51,Above average,Above average,-,158,251,157,207,165,51,74.76,356,0.85,1.15,39.22,40.57,Ad 7,Digital Marketing Essentials,quaerat_promo.png,ad.mp4,01-04-2025,28-07-2025
Full Stack Analytics Program,Webinar Promotion Set,Ad 12,Data Insights Academy,Ad 12,33,male,Kochi,17-04-2024,delivering,adset,Webinar Promotion Set,7-day click,conversion,22,386,1799,17.65,175.68,1.24,0,9.31,82.72,3.78,1,11.74,-,Average,Below average,51,193,155,104,42,18,113.44,239,3.84,3.42,12.45,41.58,Ad 12,Full Stack Analytics Program,provident_promo.png,sit.mp4,17-04-2024,05-03-2025
AI & ML Foundations,Landing Page Optimization Set,Ad 15,Analytics Gurukul,Ad 15,40,male,Pune,16-09-2025,not_delivering,ad,Landing Page Optimization Set,7-day click,conversion,27,650,779,49.31,607.22,0.79,64,4.67,98.05,5.62,155,3.81,Average,Average,Below average,217,179,267,155,148,35,93.93,371,0.96,0.53,10.24,43.23,Ad 15,AI & ML Foundations,ab_promo.png,veniam.mp4,16-09-2025,20-09-2025
Data Analytics Bootcamp,Lead Gen Set,Ad 5,Code & Data,Ad 5,23,female,Coimbatore,18-06-2024,delivering,ad,Lead Gen Set,7-day click or 1-day view,conversion,25,311,639,42.03,444.75,1.02,0,1.84,80.11,5.75,1,2.76,Above average,Average,-,29,25,19,18,9,6,34.47,44,4.11,4.06,16.59,30.8,Ad 5,Data Analytics Bootcamp,in_promo.png,reiciendis.mp4,18-06-2024,31-08-2024
SQL Skills Training,Content Marketing Set,Ad 1,Analytics Gurukul,Ad 1,39,male,Mysuru,28-07-2024,delivering,campaign,Content Marketing Set,7-day click,conversion,30,465,2022,5.96,349.3,1.44,33,10.22,91.29,5.75,98,5.31,Average,-,Average,200,181,202,99,108,50,57.29,256,4.38,4.28,41.42,39.97,Ad 1,SQL Skills Training,eveniet_promo.png,qui.mp4,28-07-2024,25-07-2025
Data Analytics Bootcamp,Excel Mastery Set,Ad 10,Analytics Gurukul,Ad 10,43,female,Chennai,24-12-2024,not_delivering,campaign,Excel Mastery Set,7-day click,conversion,35,210,469,18.79,426.21,2.19,107,3.53,62.8,2.47,242,6.16,-,Below average,-,80,101,135,76,29,10,83.39,203,0.88,4.55,38.05,21.3,Ad 10,Data Analytics Bootcamp,dolor_promo.png,tenetur.mp4,24-12-2024,25-09-2025
Python for Beginners,Retention Program Set,Ad 12,Data Insights Academy,Ad 12,43,male,Tirupati,08-07-2024,not_delivering,ad,Retention Program Set,7-day click,conversion,35,476,1991,46.5,744.96,0.87,90,1.37,51.16,2.86,215,8.07,-,-,Above average,12,15,17,15,3,4,79.67,23,2.08,3.03,33.35,30,Ad 12,Python for Beginners,quam_promo.png,molestiae.mp4,08-07-2024,09-04-2025
Full Stack Analytics Program,Social Media Ads Set,Ad 4,SkillUp Learning,Ad 4,37,male,Tirupati,21-04-2025,not_delivering,campaign,Social Media Ads Set,7-day click,conversion,16,583,2461,10.86,237.85,1.66,10,7.58,94.03,2.73,19,9.7,Above average,Average,Above average,140,294,279,134,51,90,25.05,382,2.54,0.81,23.13,38.66,Ad 4,Full Stack Analytics Program,itaque_promo.png,saepe.mp4,21-04-2025,25-06-2025
Advanced Excel Workshop,AI Solutions Set,Ad 12,Data Insights Academy,Ad 12,21,female,Chennai,19-12-2024,delivering,campaign,AI Solutions Set,7-day click or 1-day view,conversion,0,63,1233,23.58,143.85,2.44,5,13.27,70.01,6.36,10,7.01,Below average,Above average,Above average,10,37,15,10,11,5,58.02,42,3.48,1.86,9.02,31.35,Ad 12,Advanced Excel Workshop,doloremque_promo.png,pariatur.mp4,19-12-2024,07-01-2025
Business Analytics Certification,SEO Campaign Set,Ad 8,Code & Data,Ad 8,17,male,Hyderabad,27-06-2024,delivering,campaign,SEO Campaign Set,7-day click,conversion,20,380,2236,48.12,64.68,1.64,60,5.74,66.44,5.39,124,1.41,Average,Above average,Average,7,6,5,4,5,2,47.74,11,3.64,1.31,14.05,22.87,Ad 8,Business Analytics Certification,asperiores_promo.png,odit.mp4,27-06-2024,12-08-2024
SQL Skills Training,Email Campaign Set,Ad 10,Data Insights Academy,Ad 10,44,female,Tirupati,26-05-2025,not_delivering,adset,Email Campaign Set,1-day click,conversion,14,832,933,38.18,261.66,1.98,64,4.77,97.81,2.98,173,14.43,-,Average,Average,128,180,232,180,77,41,45.96,313,2.84,2.61,13.91,35.44,Ad 10,SQL Skills Training,quos_promo.png,inventore.mp4,26-05-2025,12-08-2025
Data Analytics Bootcamp,Referral Program Set,Ad 12,SkillUp Learning,Ad 12,38,female,Tirupati,05-10-2024,delivering,adset,Referral Program Set,7-day click,conversion,33,629,1213,4.12,635.84,0.72,118,2.85,99.42,5.41,311,11.25,-,Above average,Average,426,461,173,266,99,118,62.02,536,2.28,0.56,39.54,25.21,Ad 12,Data Analytics Bootcamp,magni_promo.png,commodi.mp4,05-10-2024,04-05-2025
SQL Skills Training,Engagement Set,Ad 4,Data Insights Academy,Ad 4,20,male,Ahmedabad,10-02-2025,not_delivering,adset,Engagement Set,7-day click,conversion,36,72,1508,27.82,608.34,1.83,82,5.78,73.8,5.67,199,14.96,Above average,Above average,Average,33,46,18,35,26,10,37.36,60,1.54,2.15,29.31,48.23,Ad 4,SQL Skills Training,iure_promo.png,error.mp4,10-02-2025,16-03-2025
AI & ML Foundations,Cross-sell Campaign Set,Ad 4,Analytics Gurukul,Ad 4,16,female,Madurai,25-06-2025,not_delivering,adset,Cross-sell Campaign Set,1-day click,conversion,15,879,2431,12.54,276.4,2.47,76,1.17,60.48,1.88,91,5.67,Average,Below average,Above average,176,534,213,224,189,80,72.63,615,2.24,3.17,25.16,47.17,Ad 4,AI & ML Foundations,nostrum_promo.png,architecto.mp4,25-06-2025,19-10-2025
Business Analytics Certification,AI Solutions Set,Ad 15,Code & Data,Ad 15,25,male,Mysuru,16-09-2024,delivering,campaign,AI Solutions Set,7-day click,conversion,34,1195,2326,25.33,69.64,2.98,10,3.5,53.91,1.56,27,14.56,-,Above average,Average,24,40,27,21,11,14,101.34,76,4.72,0.64,19.94,29.32,Ad 15,Business Analytics Certification,impedit_promo.png,corporis.mp4,16-09-2024,03-03-2025
Python Data Science Track,Branding Set,Ad 11,SkillUp Learning,Ad 11,21,male,Madurai,15-03-2025,delivering,ad,Branding Set,7-day click or 1-day view,conversion,22,1182,2312,46.37,471.48,1.06,78,10.5,67.49,3.11,141,3.71,Above average,Above average,-,176,230,183,151,106,63,97.81,328,3.05,4.23,26.05,23.52,Ad 11,Python Data Science Track,maxime_promo.png,quaerat.mp4,15-03-2025,07-06-2025
Power BI Mastery,SEO Campaign Set,Ad 8,Data Insights Academy,Ad 8,45,female,Kochi,20-03-2024,not_delivering,ad,SEO Campaign Set,7-day click,conversion,6,68,135,45.85,673.36,1.33,27,11.84,68.11,5.71,72,6.41,Above average,Above average,Above average,6,3,5,5,1,0,106.73,9,1.45,1.95,21.78,25.85,Ad 8,Power BI Mastery,sed_promo.png,ratione.mp4,20-03-2024,22-08-2024
Advanced Excel Workshop,Social Media Ads Set,Ad 3,Analytics Gurukul,Ad 3,30,male,Hyderabad,14-02-2025,delivering,ad,Social Media Ads Set,7-day click or 1-day view,conversion,28,367,1505,26.1,693.86,2.79,20,9.25,69.63,4.75,46,11.85,Above average,Below average,Below average,64,69,78,58,22,35,112.73,174,4.24,1.6,20.05,33.99,Ad 3,Advanced Excel Workshop,architecto_promo.png,consequatur.mp4,14-02-2025,13-10-2025
Business Analytics Certification,Campaign Performance Set,Ad 11,Data Insights Academy,Ad 11,26,male,Chennai,15-03-2024,not_delivering,ad,Campaign Performance Set,1-day click,conversion,30,938,1417,42.95,778.56,0.94,112,14.45,93.78,3.26,314,6.09,Below average,Above average,Below average,65,70,67,71,17,32,71.42,115,3.8,0.76,28.71,29.93,Ad 11,Business Analytics Certification,non_promo.png,dolorem.mp4,15-03-2024,03-09-2024
Python for Beginners,Retention Program Set,Ad 8,Analytics Gurukul,Ad 8,17,male,Pune,26-05-2025,not_delivering,campaign,Retention Program Set,7-day click,conversion,19,705,2335,41.83,88.9,2.27,16,6.83,58.19,3.48,29,5.53,-,Above average,-,19,37,48,15,30,7,68.63,72,3.91,4.22,14.75,48.4,Ad 8,Python for Beginners,recusandae_promo.png,sit.mp4,26-05-2025,31-07-2025
SQL Skills Training,Marketing Automation Set,Ad 4,Analytics Gurukul,Ad 4,37,male,Madurai,08-07-2024,not_delivering,adset,Marketing Automation Set,7-day click,conversion,22,594,962,13.53,216.27,0.77,34,1,78.01,1.21,99,2.28,Average,Below average,Above average,156,340,303,158,119,65,16.87,382,3.99,3,8.22,29.79,Ad 4,SQL Skills Training,dolores_promo.png,suscipit.mp4,08-07-2024,10-10-2025
SQL Skills Training,Branding Set,Ad 2,Code & Data,Ad 2,32,male,Kochi,31-10-2024,not_delivering,ad,Branding Set,7-day click or 1-day view,conversion,32,966,2084,26.63,207.51,2.22,72,14.68,57.98,6.2,135,7.61,Below average,-,Above average,359,400,569,354,259,197,29.06,753,1.91,1.82,14.97,37.01,Ad 2,SQL Skills Training,repudiandae_promo.png,provident.mp4,31-10-2024,26-12-2024
Advanced Excel Workshop,Market Analysis Set,Ad 7,Code & Data,Ad 7,30,male,Chennai,11-09-2024,delivering,adset,Market Analysis Set,7-day click,conversion,0,965,1147,17.61,307.9,1.68,5,14.88,88.08,4.05,10,13.79,Above average,Above average,Below average,81,52,84,28,21,34,75.5,129,3.76,2.4,40.28,26.72,Ad 7,Advanced Excel Workshop,vitae_promo.png,omnis.mp4,11-09-2024,22-07-2025
Business Analytics Certification,Growth Hacking Set,Ad 10,Analytics Gurukul,Ad 10,20,male,Hyderabad,21-07-2024,not_delivering,campaign,Growth Hacking Set,1-day click,conversion,15,352,386,18.43,170.05,0.68,40,7.01,89.74,6.64,108,0.8,-,-,Average,135,178,92,109,71,50,86.9,203,2.64,1.89,3.12,45.5,Ad 10,Business Analytics Certification,qui_promo.png,mollitia.mp4,21-07-2024,05-06-2025
SQL Skills Training,Excel Mastery Set,Ad 3,SkillUp Learning,Ad 3,43,female,Ahmedabad,16-07-2024,delivering,campaign,Excel Mastery Set,7-day click or 1-day view,conversion,4,551,2123,18.66,387.75,0.55,16,5.25,50.55,3.81,50,5.71,-,Below average,Below average,141,233,323,97,67,63,19.21,447,0.68,2.56,16.33,33.25,Ad 3,SQL Skills Training,ad_promo.png,rem.mp4,16-07-2024,19-07-2024
AI & ML Foundations,Video Ads Set,Ad 15,Code & Data,Ad 15,31,female,Ahmedabad,21-04-2025,not_delivering,ad,Video Ads Set,1-day click,conversion,23,840,1742,19.51,374.38,2.38,40,12.14,64.72,6.96,73,3.92,Below average,Below average,Above average,327,351,250,350,243,74,93.18,569,3.45,4.09,47.93,20.72,Ad 15,AI & ML Foundations,numquam_promo.png,veniam.mp4,21-04-2025,14-07-2025
Python for Beginners,Growth Hacking Set,Ad 11,Code & Data,Ad 11,32,female,Trivandrum,07-01-2025,delivering,campaign,Growth Hacking Set,7-day click,conversion,14,807,2539,3.16,492.55,2.04,71,8.87,81.04,1.12,123,1.37,-,Below average,Below average,232,309,248,75,92,56,31.57,350,2.42,3.41,45.07,46.36,Ad 11,Python for Beginners,sint_promo.png,maiores.mp4,07-01-2025,15-05-2025
Python for Beginners,Lead Gen Set,Ad 9,SkillUp Learning,Ad 9,34,male,Pondicherry,30-09-2024,not_delivering,ad,Lead Gen Set,1-day click,conversion,33,408,1353,10.63,301.45,0.94,72,1.79,58.36,1.61,164,1.05,Average,Average,Above average,3,8,7,9,4,3,98.72,15,2.46,3.01,38.34,48.25,Ad 9,Python for Beginners,illo_promo.png,nulla.mp4,30-09-2024,13-08-2025
Business Analytics Certification,SEO Campaign Set,Ad 1,SkillUp Learning,Ad 1,31,female,Ahmedabad,31-05-2025,not_delivering,campaign,SEO Campaign Set,7-day click,conversion,18,898,2295,48.05,413.14,0.92,82,12.82,87.2,5.5,129,14.12,-,Below average,Below average,298,320,243,224,175,85,79.98,405,1.6,4.61,15.08,29.55,Ad 1,Business Analytics Certification,eum_promo.png,pariatur.mp4,31-05-2025,13-08-2025
AI & ML Foundations,Engagement Set,Ad 10,SkillUp Learning,Ad 10,30,male,Bengaluru,27-07-2025,delivering,campaign,Engagement Set,7-day click,conversion,34,1107,1491,32.56,247.35,1.97,38,11.27,80.51,3.46,39,8.1,Average,Above average,Below average,411,463,221,216,153,120,107.72,521,4.12,3.86,27.34,26.62,Ad 10,AI & ML Foundations,ipsam_promo.png,dolor.mp4,27-07-2025,27-08-2025
Advanced Excel Workshop,Webinar Promotion Set,Ad 9,Analytics Gurukul,Ad 9,34,female,Kochi,11-08-2024,delivering,ad,Webinar Promotion Set,7-day click,conversion,34,111,1530,7.12,646.57,2.07,7,7.17,90.24,5.22,18,14.71,-,Above average,Below average,34,34,25,38,7,3,53.7,61,4.03,1.74,12.46,35.39,Ad 9,Advanced Excel Workshop,officiis_promo.png,autem.mp4,11-08-2024,22-03-2025
Advanced Excel Workshop,Lead Gen Set,Ad 13,Data Insights Academy,Ad 13,15,male,Kochi,15-08-2024,not_delivering,campaign,Lead Gen Set,7-day click,conversion,8,1199,1422,2.25,775.06,2.79,24,3.03,79.54,5.88,54,8.54,Below average,-,-,728,483,514,576,409,92,79.61,969,1.78,2.74,5.65,40.24,Ad 13,Advanced Excel Workshop,ad_promo.png,quo.mp4,15-08-2024,25-10-2025
Data Analytics Bootcamp,Upsell Campaign Set,Ad 14,Data Insights Academy,Ad 14,36,male,Pune,22-05-2024,delivering,campaign,Upsell Campaign Set,7-day click,conversion,37,799,2287,43.68,510.12,2.95,159,1.7,77.47,4.13,355,12.32,Below average,Average,Below average,129,366,471,220,213,168,40.51,603,2.18,1.85,4.01,49.13,Ad 14,Data Analytics Bootcamp,illum_promo.png,vero.mp4,22-05-2024,16-03-2025
Python for Beginners,Social Media Ads Set,Ad 2,Analytics Gurukul,Ad 2,28,male,Chennai,29-11-2024,not_delivering,campaign,Social Media Ads Set,7-day click or 1-day view,conversion,4,392,2158,25.65,232.75,0.83,14,10.78,69.54,5.05,14,2.69,Above average,-,Average,35,124,93,114,19,12,105.29,177,2.9,3.4,42.58,47.31,Ad 2,Python for Beginners,iste_promo.png,sequi.mp4,29-11-2024,10-02-2025
Python for Beginners,Digital Marketing Set,Ad 2,Analytics Gurukul,Ad 2,45,female,Kochi,05-07-2024,delivering,adset,Digital Marketing Set,1-day click,conversion,30,327,1319,26.15,331.71,2.18,96,4.46,80.98,1.25,128,6.83,Above average,-,-,110,69,46,76,20,24,58.62,141,3.75,3.24,25.83,36.69,Ad 2,Python for Beginners,distinctio_promo.png,quos.mp4,05-07-2024,10-07-2024
Advanced Excel Workshop,Product Launch Set,Ad 15,Data Insights Academy,Ad 15,35,male,Tirupati,24-03-2025,not_delivering,ad,Product Launch Set,7-day click,conversion,38,401,1984,35.12,223.37,2.21,139,13.27,56.4,2.97,140,5.76,Above average,Average,Above average,130,132,92,65,82,76,73.25,261,2.15,4.7,37.9,21.51,Ad 15,Advanced Excel Workshop,quisquam_promo.png,eligendi.mp4,24-03-2025,10-08-2025
Python Data Science Track,Conversion Optimization Set,Ad 11,SkillUp Learning,Ad 11,33,male,Trivandrum,18-08-2024,delivering,ad,Conversion Optimization Set,7-day click,conversion,3,473,1859,34.3,153.57,1.76,0,14.37,78.1,4.46,1,11.08,Below average,Average,-,1,2,3,3,0,1,111.71,5,2.88,4.86,39.45,46.4,Ad 11,Python Data Science Track,asperiores_promo.png,repellendus.mp4,18-08-2024,26-10-2024
Digital Marketing Essentials,Sales Funnel Set,Ad 7,Code & Data,Ad 7,41,male,Bengaluru,23-07-2025,not_delivering,ad,Sales Funnel Set,7-day click or 1-day view,conversion,32,310,1357,34.49,257.57,2.2,100,9.23,66.44,6.44,205,9.31,-,Average,Above average,194,221,178,117,32,49,99.21,290,3.2,2.4,39.28,34.68,Ad 7,Digital Marketing Essentials,debitis_promo.png,velit.mp4,23-07-2025,06-09-2025
Data Analytics Bootcamp,Referral Program Set,Ad 11,Code & Data,Ad 11,16,male,Ahmedabad,14-05-2025,delivering,ad,Referral Program Set,1-day click,conversion,16,526,948,35.07,679.43,1.47,21,2.42,86.05,6.46,39,2.52,Average,Below average,Above average,54,74,48,33,28,24,119.32,127,3.55,1.57,37.67,20.71,Ad 11,Data Analytics Bootcamp,dolores_promo.png,voluptatem.mp4,14-05-2025,24-10-2025
Data Analytics Bootcamp,Upsell Campaign Set,Ad 13,SkillUp Learning,Ad 13,37,female,Hyderabad,20-08-2024,not_delivering,adset,Upsell Campaign Set,7-day click or 1-day view,conversion,13,638,2514,30.54,645.35,1.84,55,1.55,91.94,1.95,129,1.53,-,Average,Average,112,160,98,78,66,30,66.9,201,0.53,3.04,6.31,20.89,Ad 13,Data Analytics Bootcamp,neque_promo.png,quidem.mp4,20-08-2024,05-10-2025
Python for Beginners,Product Launch Set,Ad 14,SkillUp Learning,Ad 14,24,female,Delhi,12-04-2025,not_delivering,campaign,Product Launch Set,7-day click or 1-day view,conversion,20,539,1246,4.61,606.4,2.39,72,9.27,68.26,3.19,160,8.46,Average,Average,Above average,71,78,30,23,25,18,62.08,100,2.32,4.27,3.62,27.8,Ad 14,Python for Beginners,aut_promo.png,sint.mp4,12-04-2025,19-09-2025
Power BI Mastery,Paid Media Set,Ad 15,Code & Data,Ad 15,42,male,Tirupati,23-10-2024,not_delivering,adset,Paid Media Set,7-day click,conversion,39,556,1585,27.48,437.46,0.59,105,8.9,98.13,3.09,207,4.28,Above average,Below average,Below average,41,97,64,101,22,45,30.05,177,3.74,4.51,46.96,42.75,Ad 15,Power BI Mastery,impedit_promo.png,illum.mp4,23-10-2024,23-01-2025
SQL Skills Training,Marketing Automation Set,Ad 11,Code & Data,Ad 11,24,male,Tirupati,18-09-2025,delivering,ad,Marketing Automation Set,7-day click or 1-day view,conversion,4,873,2122,28.07,602.29,2.7,18,8.62,57.13,5.86,40,7.86,Above average,-,Average,424,313,353,243,142,139,46.57,593,4,3.05,16.45,30.12,Ad 11,SQL Skills Training,porro_promo.png,necessitatibus.mp4,18-09-2025,21-10-2025
Digital Marketing Essentials,SQL Insights Set,Ad 13,Analytics Gurukul,Ad 13,38,male,Kochi,29-06-2024,delivering,adset,SQL Insights Set,1-day click,conversion,5,1103,2581,10.55,320.34,1.32,8,13.93,56.79,3.21,25,7.71,-,Average,Above average,37,56,91,62,43,9,65.43,120,0.76,4.91,37.2,47.32,Ad 13,Digital Marketing Essentials,excepturi_promo.png,doloremque.mp4,29-06-2024,27-12-2024
Python for Beginners,Customer Success Set,Ad 3,Analytics Gurukul,Ad 3,26,male,Kochi,01-09-2025,delivering,ad,Customer Success Set,1-day click,conversion,3,104,1883,2.64,107.18,2.26,21,12.2,96.53,4.2,24,7.6,Average,Below average,-,24,59,34,19,16,9,95.88,86,4.65,4.53,20.83,42.51,Ad 3,Python for Beginners,recusandae_promo.png,cumque.mp4,01-09-2025,08-09-2025
Power BI Mastery,AI Solutions Set,Ad 7,Analytics Gurukul,Ad 7,43,male,Hyderabad,13-08-2025,not_delivering,adset,AI Solutions Set,7-day click or 1-day view,conversion,37,818,1141,23.19,543.17,2.74,16,6.81,56.2,6.88,21,1.99,-,Below average,Below average,382,369,165,343,193,75,74.4,553,0.62,2.49,33.56,23.81,Ad 7,Power BI Mastery,debitis_promo.png,excepturi.mp4,13-08-2025,19-09-2025
Python for Beginners,Marketing Automation Set,Ad 3,Analytics Gurukul,Ad 3,32,female,Mumbai,01-07-2025,delivering,ad,Marketing Automation Set,1-day click,conversion,5,714,2516,16.62,340.45,2.29,27,14.05,75.58,5.09,80,12.85,-,Above average,Above average,13,36,16,25,5,11,66.22,51,2.7,4.02,28.05,41.93,Ad 3,Python for Beginners,sint_promo.png,accusantium.mp4,01-07-2025,09-09-2025
Digital Marketing Essentials,SEO Campaign Set,Ad 12,Analytics Gurukul,Ad 12,19,male,Mumbai,14-07-2024,delivering,campaign,SEO Campaign Set,7-day click or 1-day view,conversion,32,1156,2038,48.27,141.47,2.5,101,6.76,93.71,1.64,277,1.82,Below average,Average,-,80,187,188,117,34,67,87.02,306,3.89,3.12,46.29,23.97,Ad 12,Digital Marketing Essentials,praesentium_promo.png,quia.mp4,14-07-2024,17-01-2025
Digital Marketing Essentials,Paid Media Set,Ad 2,Data Insights Academy,Ad 2,25,female,Chennai,14-07-2024,not_delivering,adset,Paid Media Set,7-day click,conversion,34,820,2601,27.51,287.65,1.92,19,3.95,96.41,3.67,57,13.61,Average,Above average,Average,229,609,570,447,304,55,101.04,772,4.69,3.08,42.53,44.63,Ad 2,Digital Marketing Essentials,nemo_promo.png,sit.mp4,14-07-2024,12-06-2025
AI & ML Foundations,Excel Mastery Set,Ad 11,Code & Data,Ad 11,45,male,Ahmedabad,10-03-2025,delivering,adset,Excel Mastery Set,7-day click,conversion,38,285,1941,44.97,476.94,2.69,185,2.93,69.66,6.33,356,14.21,Above average,Average,Below average,14,29,19,7,14,5,35.24,36,0.57,2.04,28.04,41.17,Ad 11,AI & ML Foundations,provident_promo.png,deserunt.mp4,10-03-2025,07-07-2025
Business Analytics Certification,Market Analysis Set,Ad 2,SkillUp Learning,Ad 2,18,female,Trivandrum,26-03-2025,not_delivering,adset,Market Analysis Set,7-day click,conversion,11,646,2191,8.86,760.89,1.91,38,10.73,95.64,2.55,113,12.43,-,Average,Average,186,313,155,252,87,112,23.86,383,4.65,4.5,1.18,40.36,Ad 2,Business Analytics Certification,soluta_promo.png,odio.mp4,26-03-2025,27-08-2025
AI & ML Foundations,SEO Campaign Set,Ad 13,Data Insights Academy,Ad 13,36,male,Pondicherry,23-07-2024,delivering,adset,SEO Campaign Set,7-day click or 1-day view,conversion,17,1114,2973,36.1,662.17,2.27,15,14.89,84.56,3.58,26,5.14,Average,-,Below average,7,10,6,7,1,2,67.55,13,1.72,4.87,47.26,31.36,Ad 13,AI & ML Foundations,illum_promo.png,necessitatibus.mp4,23-07-2024,29-04-2025
SQL Skills Training,Campaign Performance Set,Ad 5,Analytics Gurukul,Ad 5,44,female,Mumbai,03-06-2024,delivering,ad,Campaign Performance Set,7-day click or 1-day view,conversion,10,826,1820,4.32,613.67,1.23,56,4.54,68.7,1.73,149,5.91,Below average,Average,-,75,122,115,59,40,26,24.25,183,4.96,1.21,26.12,31.09,Ad 5,SQL Skills Training,reiciendis_promo.png,cupiditate.mp4,03-06-2024,14-04-2025
Business Analytics Certification,Email Campaign Set,Ad 2,SkillUp Learning,Ad 2,45,female,Ahmedabad,29-08-2025,delivering,campaign,Email Campaign Set,1-day click,conversion,32,651,1008,31.61,232.37,1.8,78,12.53,61.08,1.68,187,10.74,Above average,Above average,Above average,91,150,65,40,53,57,32.86,193,3.67,2.1,9.95,42.26,Ad 2,Business Analytics Certification,illo_promo.png,maxime.mp4,29-08-2025,12-09-2025
AI & ML Foundations,Landing Page Optimization Set,Ad 14,Analytics Gurukul,Ad 14,27,male,Ahmedabad,04-10-2025,delivering,campaign,Landing Page Optimization Set,7-day click,conversion,0,774,2456,28.73,287.28,0.58,7,8.81,69.6,4.24,13,14.44,Above average,Above average,Average,203,486,274,413,169,123,59.47,638,0.85,2.26,3.88,39.96,Ad 14,AI & ML Foundations,culpa_promo.png,tempore.mp4,04-10-2025,24-10-2025
Business Analytics Certification,Referral Program Set,Ad 14,Code & Data,Ad 14,44,female,Kochi,29-09-2024,not_delivering,ad,Referral Program Set,1-day click,conversion,6,930,2498,25.22,533.75,2.69,7,2.48,64.27,5.44,15,2.87,Average,Above average,Average,157,338,220,148,178,70,119.29,391,1.43,2.37,1.35,47.48,Ad 14,Business Analytics Certification,quae_promo.png,ipsum.mp4,29-09-2024,16-01-2025
AI & ML Foundations,Social Media Ads Set,Ad 1,Analytics Gurukul,Ad 1,28,male,Mumbai,15-08-2024,delivering,ad,Social Media Ads Set,7-day click or 1-day view,conversion,11,1011,1450,47.25,98.56,1.35,22,2.12,58.43,5.82,56,3.27,Average,Above average,Average,575,450,334,360,268,167,75.45,759,1.31,1.52,32.2,20.36,Ad 1,AI & ML Foundations,atque_promo.png,ipsa.mp4,15-08-2024,03-09-2024
Digital Marketing Essentials,Marketing Automation Set,Ad 6,Data Insights Academy,Ad 6,32,male,Trivandrum,19-07-2025,not_delivering,campaign,Marketing Automation Set,7-day click,conversion,25,1160,1646,28.19,102.5,1.29,74,14.36,57.83,5.08,189,4.48,-,Average,-,368,635,572,582,375,165,113.8,971,4.83,1.21,12.38,45.23,Ad 6,Digital Marketing Essentials,consectetur_promo.png,perferendis.mp4,19-07-2025,01-09-2025
AI & ML Foundations,Loyalty Program Set,Ad 13,Code & Data,Ad 13,34,female,Tirupati,22-10-2024,not_delivering,ad,Loyalty Program Set,1-day click,conversion,4,312,597,5,686.14,2.87,3,12.83,87.17,3.65,12,15,Below average,Above average,Average,72,131,155,128,47,21,55.25,276,2.88,4.1,19.76,43.75,Ad 13,AI & ML Foundations,eligendi_promo.png,adipisci.mp4,22-10-2024,14-03-2025
Full Stack Analytics Program,Reporting & Insights Set,Ad 8,Data Insights Academy,Ad 8,29,male,Pondicherry,18-06-2024,delivering,campaign,Reporting & Insights Set,1-day click,conversion,39,205,1130,7.56,76.26,1.15,12,6.07,75.02,4.54,30,9.8,Average,Average,Below average,30,86,65,55,38,18,51.65,107,4.73,4.63,48.26,32.61,Ad 8,Full Stack Analytics Program,magni_promo.png,odio.mp4,18-06-2024,15-09-2025
